substrate_range,enzyme_dil_1/100_um,enzyme_dil_1/255_um,enzyme_dil_1/411_um,enzyme_dil_1/566_um,enzyme_dil_1/722_um,enzyme_dil_1/877_um,enzyme_dil_1/1033_um,enzyme_dil_1/1188_um,enzyme_dil_1/1344_um,enzyme_dil_1/1500_um
0.0,0.24764361965138237,0,0,0.811056876596302,0,0,0.4415849117466444,0,0.3722204025942172,0.38124055248757854
2.000400080016003,0.4110839692905526,0,0,0.14093329035248048,0,0.16340963154900576,0,0.08332736442432176,0.3357005974400527,0
4.000800160032006,0.6948118967368657,0,1.0946644246911406,0.7277659816955439,0,0.3955499536851036,0.23214037445679436,0.41522936457028664,0,0.3288799602492542
6.001200240048009,0.3631447065653449,0.4735199163172518,0.2543846662133581,0.5125678465488162,0.7566311655292541,0,0,0.8515023588694868,0.5289971361774369,0.8565802172780227
8.001600320064012,1.1141493950540815,0.1720684702292888,0.7964941475414484,0.19523592463867884,0.18897773286505826,0.29543815896681974,0.8389195759120894,0.41879221771748026,0,0
10.002000400080016,0.8568425428247759,0,1.0091463320390355,0,0.25722970411327917,0,0,0,0,0
12.002400480096018,0,0,0,0.11778022284690837,0,0,0.03465757989216776,0.5200230407057294,0,0.1382120244861003
14.002800560112021,0.5762502606836661,0.26620853478893325,0.74399999470141,1.868675485098999,0.6054413406094011,0,0.28330822939842293,0,0.13952869962356207,0.034887740373415556
16.003200640128025,1.0316562493504948,0.36832457104285576,0.503013027997612,0.219036807737675,0.016665818077972114,0.30517674195378947,0.2438964379006148,0.26745951381846783,0,0
18.00360072014403,0.7572389854758151,0,0,0,0.9783217109450036,0,0,0.1827737224735676,0.25518704998837816,0
20.004000800160032,0,0.28750832774177454,0,0,0,0,0,0,0,0.1449517261773724
22.004400880176036,1.7474353112128735,0.029406493619176466,0.23955066857573026,0.5775865575490675,0,0,0,0,1.1309850976507918,0.13825337333199295
24.004800960192036,1.4671027127025886,1.0046267631430226,0.29569384262867243,0.35133877439802164,0,0,0.22572342950214563,0.01273724824210655,0,0.2840521719344915
26.00520104020804,0.6361263228518641,0.5922781332542595,0,0,0.6163583815456503,0.9199314152759871,0,0,0,0.7073021486681542
28.005601120224043,1.7230512748116107,1.1152241112630206,0.04068217881523689,0.3238808199637565,0.3464202566181924,0.6495962028847604,0.44004736373899994,0.7307761472248964,0,0
30.006001200240046,2.057833186936568,1.3090092535215319,0.9409703399584229,0,0.5531930390697671,0,0.44091218665021603,0.11410225789987144,0.42627675294515244,0
32.00640128025605,1.2361895516755914,0.9096329315217995,0.10185342267098257,0.05580135597276961,0.5148174451303356,1.1091144975670229,0.38807704189475223,0.1425952609398902,0,0
34.00680136027205,2.4316167839364207,0.9186489313710049,0.3090823364662155,0.17278402759793085,0,0.4314466325385579,0,0,0.5684343560563045,0.1988061944363735
36.00720144028806,1.6945736879853615,0.8221671280455781,1.042913239155386,0,0,0.7435296094726993,0,0.7774001191043027,0,0.320978789123502
38.00760152030406,2.09031632296644,1.216807376640611,0.11169450363942718,0,0,0.6371765368517888,0.6667766341921189,0.5633515126942779,0,0
40.008001600320064,1.2804800202637479,1.7353470499409593,0.5691007829238356,0.0036968699539295935,0.8013542822337472,0.10487151102279853,0,0,0.17148640110633137,0.5419852204276212
42.008401680336064,1.60988894501815,0.8585799706921733,0.5505331969579257,1.0316175826978857,0.6000533704591953,0.8073365933495265,1.0505194916553446,0.40787997713496216,0.6024811671822153,0
44.00880176035207,1.6859191667259699,0.41076976957146255,1.139038765697566,0.10891898440319353,0.45706726008733534,0.44201636990229387,0,0,0.3990927977879639,0.840484097747441
46.00920184036807,2.8964304074512643,1.4870045849932023,0.868587905962378,0.4658558252321133,0.25954417343067004,0,0.9339245023934456,0.25317571527870486,0,0
48.00960192038407,2.8831568974542954,0.7886647127420083,0.18834326914192046,0.2819797692208798,0,1.2852616600456692,0.1781289869796249,0.013280899262103046,0.41375904869468266,0
50.01000200040008,2.5596777480013113,0.04253001658660982,1.577866620107831,0.17281553680248607,0.20054325925823036,1.2631085924045466,0,0,0.2817223873554672,0
52.01040208041608,1.7730522882628903,0.40202207022951963,0,0.9788551610587582,1.0976138169520233,0.567693729770256,0,0,1.1165048607164323,0
54.010802160432085,1.9602477317124545,0.5881865431200398,1.187464648699018,0.4567606741272942,0.31266852995664585,1.105347260352139,0.37887857895749955,0.497415175672809,0,0.38180564321778776
56.011202240448085,2.6615962932602097,1.0140423085599466,1.4042674376578992,0.33723083262544884,0.6887664976328567,0,0.6910792677437332,0.3462309056923474,0,0.08578829688261597
58.01160232046409,2.567833377863466,1.4712840649947343,0.7162320794378171,0.5734822177233709,0.15346900306480682,0,0.1869868579689873,0.10253881650122104,0,0.38110214683828325
60.01200240048009,2.736310988946332,0.7913283144150677,0.8265915717715353,0.42256466147926924,0.9674590943463987,0,0,0.2773179285545143,0.4085660523318151,0.5966540162987228
62.0124024804961,2.5635169887108953,1.3623168690464738,0.7570620591569615,0.564767959833427,0.2968538828445872,0,0.3722713154820164,0.024157618065101943,0,0
64.0128025605121,2.7327367351781415,1.049335782623809,1.3244831159285115,1.0849497118047509,0.32413088680148017,0.5574512993929545,0,0,0.7225624108758797,0.0034359339715460124
66.0132026405281,2.978980127687908,1.2242747880230456,1.9260327497027985,1.190647092661695,0.20320558826093266,0,1.384421681656494,0.2421023269531601,0,0.51107245969018
68.0136027205441,1.7696965815248407,1.166727029609561,0,0.536545600981626,0.28694561151531633,0,0.33115316599179223,0.9405484396849677,1.1965208693571032,0.5277853830470783
70.0140028005601,2.4366894590034684,1.463537735662789,1.1301723140011266,1.2835769970384587,0,0.23341568784489647,0.5977891243110347,0.45669435726327046,0.07202607428730276,0
72.01440288057611,2.8494927215117025,1.366471299647642,1.0728181052252657,0,0.2207844176204822,0.4902502643544656,0,0.7725567089295197,0,0.48193772379561806
74.01480296059212,2.8993741907353514,1.7101649593740573,0.47094971043208556,0,0.06431997421490876,0.6721709833397393,0.5731510698170263,0,0.3794245994889272,0.5606865972031648
76.01520304060811,3.231494839271572,1.1636690316773586,0.7635487250758517,1.0444384783746319,0.4326818533320582,0,0.5905559595337646,0.5545010867446638,0.8439529122006628,0.7178863142316487
